City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Haines Junction,CA,2020-12-26 14:39:46,60.75,-137.51,5.31,89,99,1.95
211,Paamiut,GL,2020-12-26 14:44:28,61.99,-49.67,20.41,79,61,16.67
212,Kutum,SD,2020-12-26 14:38:53,14.2,24.67,78.31,19,8,11.65
213,Puerto Maldonado,PE,2020-12-26 14:44:28,-12.6,-69.18,75.2,100,90,8.05
214,Pahrump,US,2020-12-26 14:44:28,36.21,-115.98,39.0,20,1,5.82
215,Salym,RU,2020-12-26 14:39:33,60.06,71.48,-29.83,83,17,6.93
216,Tabou,CI,2020-12-26 14:39:56,4.42,-7.35,81.88,80,64,7.81
217,Flin Flon,CA,2020-12-26 14:39:40,54.77,-101.86,12.2,85,90,2.71
218,Iranduba,BR,2020-12-26 14:44:29,-3.28,-60.19,84.2,79,40,3.36
219,Victor Harbor,AU,2020-12-26 14:39:09,-35.57,138.62,72.0,42,100,9.71
220,Camana,PE,2020-12-26 14:39:47,-16.62,-72.71,72.82,73,100,6.22
221,Kaitangata,NZ,2020-12-26 14:39:06,-46.28,169.85,46.0,75,8,5.01
222,Kyshtovka,RU,2020-12-26 14:44:30,56.55,76.63,-23.28,85,100,3.85
223,North Bend,US,2020-12-26 14:40:44,43.41,-124.22,46.99,86,40,4.7
224,Ancud,CL,2020-12-26 14:44:31,-41.87,-73.82,68.0,87,75,9.17
225,Nemuro,JP,2020-12-26 14:39:05,43.32,145.57,21.16,84,18,25.64
226,Dodoma,TZ,2020-12-26 14:44:31,-6.17,35.74,71.6,83,75,5.64
227,Gazojak,TM,2020-12-26 14:44:31,41.19,61.4,25.97,87,0,9.06
228,Batagay-Alyta,RU,2020-12-26 14:40:50,67.8,130.41,-21.23,80,31,2.86
229,Muli,MV,2020-12-26 14:44:32,2.92,73.57,82.72,75,25,9.08
230,Esperance,AU,2020-12-26 14:38:53,-33.87,121.9,59.0,87,75,14.99
231,Codrington,AU,2020-12-26 14:39:19,-38.27,141.97,66.29,49,100,9.24
232,Clyde River,CA,2020-12-26 14:39:34,70.47,-68.59,-20.2,75,0,3.36
