City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Dunedin,NZ,-45.87,170.5,59.29,77,100,4.38,heavy intensity rain
187,Coquimbo,CL,-29.95,-71.34,64.4,77,0,6.93,clear sky
188,Saint Simons,US,31.14,-81.39,55.99,93,1,10.29,clear sky
189,Torbay,CA,47.67,-52.73,36.0,100,90,10.29,light rain
190,Hofn,IS,64.25,-15.21,24.71,85,0,15.95,clear sky
191,Bengkulu,ID,-3.8,102.27,76.73,75,97,4.52,light rain
192,Ha Tinh,VN,18.33,105.9,64.8,87,70,15.86,broken clouds
193,Prince Rupert,CA,54.32,-130.32,42.8,81,90,12.75,light rain
194,Lavrentiya,RU,65.58,-171.0,21.02,97,100,10.67,overcast clouds
195,Angoram,PG,-4.06,144.07,79.72,82,99,1.32,overcast clouds
196,Daura,NG,11.55,11.41,66.81,25,3,6.91,clear sky
197,Zapolyarnyy,RU,69.42,30.81,24.8,79,100,10.29,overcast clouds
198,Sitka,US,57.05,-135.33,44.6,65,75,19.46,light rain
199,Bereda,ES,43.27,-7.54,37.99,100,84,5.01,broken clouds
200,Isangel,VU,-19.55,169.27,84.2,83,75,11.41,broken clouds
201,Souillac,MU,-20.52,57.52,77.0,78,40,10.29,scattered clouds
202,Formosa,AR,-26.18,-58.18,82.4,83,0,8.05,light rain
203,Leninsk,RU,48.71,45.2,19.4,92,90,8.95,mist
204,Esperance,AU,-33.87,121.9,68.0,60,41,14.99,scattered clouds
205,Nioro,GM,13.35,-15.75,78.33,26,0,4.9,clear sky
206,Porto Torres,IT,40.84,8.4,50.0,76,0,6.93,clear sky
207,Ulverstone,AU,-41.15,146.17,70.0,69,1,6.8,clear sky
208,Zhurivka,UA,50.5,31.78,37.4,100,90,6.71,fog
209,Rawson,AR,-43.3,-65.1,72.19,43,38,19.08,scattered clouds
210,Geraldton,AU,-28.77,114.6,75.2,78,0,13.87,clear sky
211,Leh,IN,34.17,77.58,-3.37,63,0,2.55,clear sky
212,Belaya Gora,RU,68.53,146.42,-36.54,83,46,2.68,scattered clouds
213,Alta Floresta,BR,-9.88,-56.09,71.08,97,100,2.21,moderate rain
214,Brae,GB,60.4,-1.35,39.2,77,4,9.17,clear sky
215,Waingapu,ID,-9.66,120.26,81.41,69,91,5.5,overcast clouds
216,Krasnoarmeysk,RU,51.02,45.7,6.03,96,100,6.51,overcast clouds
217,Elverum,NO,60.88,11.56,35.01,96,100,1.01,light snow
218,Ancud,CL,-41.87,-73.82,53.01,62,75,8.05,broken clouds
219,Erice,IT,38.04,12.59,57.99,87,75,9.17,light rain
220,Andros Town,BS,24.7,-77.77,73.4,60,40,14.99,scattered clouds
221,Palmer,US,42.16,-72.33,27.0,38,1,12.75,clear sky
222,Saint George,US,37.1,-113.58,46.4,24,1,10.29,clear sky
223,Tautira,PF,-17.73,-149.15,86.0,58,75,3.36,shower rain
224,Kununurra,AU,-15.77,128.73,84.2,83,40,4.7,scattered clouds
225,Dimitrovgrad,RU,54.21,49.62,14.0,85,90,8.95,light snow
226,Saint-Joseph,RE,-21.37,55.62,75.2,73,0,16.11,clear sky
227,Yatou,CN,37.15,122.38,15.96,96,97,20.09,light snow
228,Kavieng,PG,-2.57,150.8,84.67,64,98,4.45,overcast clouds
229,Fairbanks,US,64.84,-147.72,14.0,84,1,2.71,clear sky
230,Batagay-Alyta,RU,67.8,130.41,-16.6,80,94,5.17,overcast clouds
231,Nabire,ID,-3.37,135.48,78.67,80,100,1.57,overcast clouds
232,Coihaique,CL,-45.58,-72.07,51.8,50,20,6.93,few clouds
233,Yantal,RU,56.85,105.25,-22.65,80,0,2.66,clear sky
234,Pangnirtung,CA,66.15,-65.71,12.2,72,90,16.11,light snow
235,Inuvik,CA,68.35,-133.72,-9.4,76,100,5.59,overcast clouds
236,Vestmannaeyjar,IS,63.44,-20.27,32.47,90,100,14.85,overcast clouds
237,Ngunguru,NZ,-35.62,174.5,69.94,51,3,4.38,clear sky
238,Korla,CN,41.76,86.15,15.49,88,6,2.3,clear sky
239,Mercedes,AR,-34.65,-59.43,84.0,63,23,9.69,few clouds
240,Kyabram,AU,-36.32,145.05,78.01,41,51,4.65,broken clouds
241,Blagoyevo,RU,63.37,47.92,0.72,90,91,4.65,overcast clouds
242,Verkhnyaya Inta,RU,65.98,60.31,-25.94,82,0,1.45,clear sky
243,Isabela,PH,6.71,121.97,84.2,70,20,2.24,few clouds
244,Roscrea,IE,52.95,-7.8,33.01,90,85,6.17,overcast clouds
245,Chachapoyas,PE,-6.23,-77.87,56.41,85,28,2.77,scattered clouds
246,Novyy Yarychiv,UA,49.9,24.31,39.2,69,0,11.18,clear sky
247,Ballinasloe,IE,53.33,-8.22,35.01,86,95,7.0,overcast clouds
248,Lewistown,US,40.6,-77.57,28.4,54,1,5.82,clear sky
249,Ciudad Bolivar,VE,8.12,-63.55,81.81,69,91,11.03,moderate rain
250,Bartica,GY,6.4,-58.62,77.0,94,20,4.7,light rain
251,Hervey Bay,AU,-25.3,152.85,71.01,93,100,11.99,light rain
252,Cidreira,BR,-30.18,-50.21,75.2,88,33,14.29,scattered clouds
253,Manaure,CO,11.78,-72.44,78.78,73,53,17.02,broken clouds
254,Eyl,SO,7.98,49.82,75.43,75,25,18.88,scattered clouds
255,Dikson,RU,73.51,80.55,-23.24,82,0,6.15,clear sky
256,Muros,ES,42.78,-9.06,37.99,96,32,12.06,scattered clouds
257,Key West,US,24.56,-81.78,71.6,73,75,11.41,broken clouds
258,Atar,MR,20.52,-13.05,69.19,34,50,2.17,scattered clouds
259,Huarmey,PE,-10.07,-78.15,70.83,82,67,11.18,broken clouds
260,Savelugu,GH,9.62,-0.83,75.96,18,8,6.51,clear sky
261,Vanimo,PG,-2.67,141.3,82.72,76,100,0.94,light rain
262,Sola,VU,-13.88,167.55,86.0,79,90,5.82,light rain
263,Barstow,US,34.9,-117.02,57.2,19,1,5.82,clear sky
264,Victoria,HK,22.29,114.16,57.99,58,0,3.0,clear sky
265,Kapit,MY,2.02,112.93,74.53,93,100,1.61,light rain
266,East London,ZA,-33.02,27.91,71.51,80,100,17.0,light rain
267,Izberbash,RU,42.57,47.86,39.0,100,90,3.36,mist
268,Sechura,PE,-5.56,-80.82,73.18,73,23,16.73,few clouds
269,Pacific Grove,US,36.62,-121.92,55.99,62,1,9.17,clear sky
270,Puerto Escondido,MX,15.85,-97.07,77.0,78,75,3.36,broken clouds
271,Kinkala,CG,-4.36,14.76,77.0,88,20,1.12,light rain
272,Teeli,RU,51.03,90.23,-30.37,81,82,3.13,broken clouds
273,Port Hardy,CA,50.7,-127.42,44.6,86,90,26.4,light rain
274,Cukai,MY,4.25,103.42,73.4,94,20,5.59,few clouds
275,Presidente Medici,BR,-11.18,-61.9,75.18,92,88,1.19,light rain
276,Ketchikan,US,55.34,-131.65,37.4,100,90,16.11,light rain
277,Tiksi,RU,71.69,128.87,-1.84,90,100,11.14,overcast clouds
278,Great Bend,US,38.36,-98.76,35.6,93,90,4.7,overcast clouds
279,Kachug,RU,53.96,105.88,-30.15,81,49,1.1,scattered clouds
280,Ozernovskiy,RU,51.5,156.52,22.24,86,81,5.44,broken clouds
281,Faya,SA,18.39,42.45,55.4,66,0,4.7,clear sky
282,Halifax,CA,44.65,-63.57,32.0,89,49,10.29,light snow
283,Sobolevo,RU,54.43,31.9,34.54,97,97,11.79,overcast clouds
284,Chaohu,CN,31.6,117.87,19.4,73,0,8.95,clear sky
285,Placido De Castro,BR,-10.34,-67.19,74.8,96,79,2.37,broken clouds
286,Seara,PT,41.18,-7.8,39.0,9,6,2.42,clear sky
287,Bud,US,39.45,-86.18,34.0,55,90,4.7,overcast clouds
288,Necochea,AR,-38.55,-58.74,77.0,75,2,12.26,clear sky
289,Chuy,UY,-33.7,-53.46,69.55,86,1,8.37,clear sky
290,Lompoc,US,34.64,-120.46,61.0,41,1,10.29,clear sky
291,Shagonar,RU,51.53,92.8,-26.32,82,90,3.29,overcast clouds
292,Chany,RU,55.31,76.76,4.42,95,97,8.12,light snow
293,Kathu,TH,7.92,98.33,84.0,94,20,3.36,few clouds
294,San Rafael,AR,-34.62,-68.33,83.39,30,39,5.95,light rain
295,Teluknaga,ID,-6.1,106.64,81.0,83,75,11.41,light rain
296,Ansalta,RU,42.69,46.12,38.53,56,18,2.91,few clouds
297,Khorixas,NA,-20.37,14.97,68.99,72,98,6.62,overcast clouds
298,Matagami,CA,49.75,-77.63,12.2,85,1,6.93,clear sky
299,Anadyr,RU,64.75,177.48,14.0,92,75,2.24,light shower snow
300,Ayan,RU,56.45,138.17,-22.0,75,12,9.37,few clouds
